iter	RMSE
0	246881788.2
1	245055371.8
2	243226388.6
3	241407468.9
4	239613532.5
5	237836230.8
6	236070273.9
7	234307906.2
8	232555090.4
9	230827001
10	229105756.9
11	227401283
12	225696143.6
13	224021953
14	222355470.9
15	220707446.7
16	219050322.1
17	217424384.9
18	215814423.6
19	214223723.5
20	212640195.9
21	211069518.1
22	209493619.8
23	207946748.5
24	206410821.9
25	204878164.6
26	203371489.5
27	201843050.2
28	200347475.2
29	198858732
30	197392877.8
31	195930805.6
32	194489289.1
33	193058113.1
34	191620604.3
35	190214473.4
36	188815981.5
37	187428296.2
38	186039669.2
39	184657980.7
40	183295118.7
41	181929454.3
42	180578396
43	179243876.2
44	177917612.8
45	176614272.7
46	175300225.4
47	174004228.9
48	172725552.7
49	171463053.3
50	170184654.3
51	168925852.3
52	167670910.6
53	166419681.2
54	165195427.2
55	163987696.1
56	162791482.9
57	161602913.2
58	160418510.7
59	159230246.8
60	158056252.7
61	156904786.4
62	155733542.1
63	154599122.4
64	153449849.2
65	152319594.8
66	151198474.1
67	150093789.4
68	149002298.8
69	147911349
70	146805823.4
71	145733427.7
72	144662945.5
73	143612179.2
74	142560787.4
75	141511279.4
76	140482345.6
77	139454069.2
78	138435198.4
79	137392994
80	136397703.1
81	135389117.6
82	134410476.3
83	133432256.5
84	132462790.3
85	131489339.4
86	130520964.5
87	129565791.6
88	128622254.6
89	127674641.1
90	126746415.1
91	125827403.5
92	124917042.4
93	123995407.2
94	123100344.2
95	122207993
96	121310919.7
97	120432006.4
98	119559623.2
99	118694720.3
100	117836808.4
101	116969175.3
102	116109485.2
103	115265431.5
104	114606215.5
105	113774420.6
106	112950855.9
107	112130890.8
108	111313971.5
109	110519558
110	109723909.9
111	108913922.7
112	108136333.2
113	107364686.5
114	106600887.1
115	105843106.3
116	105091296.1
117	104316791.7
118	103557517.1
119	102816087.6
120	102071365
121	101339603.9
122	100595294
123	99879018.2
124	99158203.79
125	98454371.26
126	97759085.91
127	97059584.9
128	96365008.44
129	95684350.8
130	94997877.99
131	94321336.39
132	93648846.78
133	92991220.9
134	92338605.1
135	91681120.76
136	91036948.43
137	90367263.31
138	89724942.66
139	89095256.91
140	88454144.58
141	87821462.18
142	87205823.03
143	86590316.22
144	85980936.36
145	85383160.18
146	84790220.38
147	84201460
148	83604175.59
149	83012980.85
150	82428825.54
151	81848070.21
152	81276086.01
153	80712348.04
154	80144337.12
155	79588712.41
156	79035215.73
157	78481916.61
158	77933889.12
159	77391286.27
160	76853214.05
161	76313676.78
162	75787172.61
163	75266478.87
164	74713605.06
165	74180498.33
166	73674897.23
167	73164908.13
168	72662993.08
169	72125615.92
170	71626741.74
171	71136953.05
172	70651431.48
173	70174484.31
174	69676628.64
175	69206023.51
176	68735620.43
177	68230326.95
178	67737577.94
179	67275616.08
180	66789541.96
181	66311155.01
182	65857809.5
183	65417015.39
184	64942071.4
185	64497397.85
186	64029830.98
187	63603647.71
188	63164978.02
189	62744394.97
190	62307511.51
191	61859289.31
192	61431675.06
193	61023497.21
194	60618830.56
195	60198824.67
196	59765684.64
197	59332433.81
198	58911970.58
199	58524578.77
200	58135885.02
201	57752428.54
202	57335363.81
203	56961345.7
204	56561327.96
205	56193474.01
206	55788416.28
207	55424381.57
208	55023700.76
209	54659222.13
210	54306051.37
211	53955192.7
212	53585488.62
213	53238329.49
214	52897061.25
215	52505907.65
216	52169113.44
217	51784907.06
218	51454568.35
219	51124996.92
220	50774815.6
221	50445568.55
222	50074534.75
223	49713813.55
224	49398494.35
225	49086769.69
226	48727769.96
227	48414284.63
228	48100019.49
229	47797518.3
230	47442620.43
231	47136756.68
232	46842430.03
233	46500623.86
234	46163527.24
235	45827726.25
236	45533063.91
237	45246769.93
238	44933215.36
239	44610322.93
240	44334287.93
241	44031463.6
242	43757479.38
243	43460509.5
244	43170154.37
245	42900877.92
246	42637262.3
247	42329433.5
248	42068634.39
249	41770615.65
250	41478488.6
251	41185626.07
252	40911714.81
253	40624697.58
254	40371170.88
255	40091767.23
256	39798332.74
257	39516274.23
258	39278114.77
259	38985972.23
260	38717782.12
261	38432714.66
262	38201056.61
263	37919539.75
264	37673707.83
265	37446453.89
266	37167236.46
267	36927717.62
268	36706113.53
269	36455587.13
270	36192357.31
271	35934188.1
272	35696723.21
273	35432474.74
274	35187292.89
275	34974550.32
276	34734749.3
277	34529200.47
278	34293035.55
279	34055260.52
280	33816285.93
281	33572293.55
282	33376698.22
283	33153604.01
284	32899678.58
285	32677575.57
286	32435781.14
287	32248468.87
288	32063326.85
289	31875529.72
290	31645365.75
291	31412339
292	31179610.38
293	30963969.92
294	30729783.84
295	30547684.25
296	30432658.24
297	30233948.04
298	30080890.71
299	29882577.11
300	29712805.19
301	29527061.91
302	29445403.97
303	29221774.6
304	29012497.22
305	28821376.43
306	28627685.45
307	28424795.92
308	28255408.04
309	28067747.45
310	27885233.97
311	27675484.96
312	27514375.55
313	27311790.73
314	27102761.76
315	26930617.71
316	26725144.41
317	26521628.72
318	26331522.53
319	26147610.68
320	25952099.85
321	25766820.31
322	25605146.46
323	25421189.09
324	25278084.36
325	25137609.68
326	24975617.15
327	24833124.42
328	24708293.33
329	24523354.09
330	24344647.81
331	24161801.43
332	24011740.55
333	23847942.05
334	23698812.62
335	23522305.61
336	23353268.38
337	23220489.14
338	23063024.22
339	22936477.59
340	22769230.5
341	22629321.43
342	22466119.34
343	22309801.26
344	22154769.23
345	21993148.85
346	21832862.97
347	21681768.84
348	21533314.3
349	21399674.65
350	21240022.01
351	21081950.92
352	20955569.8
353	20818912.75
354	20665072.79
355	20541051.76
356	20401910.38
357	20248350.3
358	20139176.49
359	20015571.38
360	19877123
361	19739297.7
362	19633836.94
363	19491310.99
364	19343936.96
365	19213449.12
366	19103364.51
367	18968473.68
368	18836824.64
369	18711766.71
370	18578348.16
371	18447864.06
372	18312407.72
373	18195136.45
374	18065311.78
375	17934920.7
376	17853858.05
377	17721919.96
378	17610621.01
379	17480206.38
380	17372357.61
381	17263321.61
382	17161613.48
383	17062903.19
384	16957557.62
385	16852992.38
386	16734460.6
387	16613293.85
388	16522443.8
389	16400819.71
390	16299647.16
391	16177897.66
392	16056834.24
393	15938585.13
394	15841709.36
395	15726404.73
396	15611199.85
397	15518380.61
398	15422608.01
399	15316457.52
400	15224088.29
401	15133363.05
402	15022125.78
403	14912867.67
404	14803813.81
405	14696611.23
406	14607237.48
407	14501233.91
408	14397654.4
409	14302660.2
410	14200606.48
411	14097682.97
412	13996575.38
413	13916679.51
414	13815661.48
415	13718774
416	13636274.78
417	13549340.21
418	13504164.73
419	13408509.56
420	13311644.9
421	13233488.79
422	13162648.38
423	13086371.05
424	13010831.9
425	12936706.4
426	12869956.28
427	12795121.69
428	12703857.88
429	12622051.05
430	12528273.9
431	12440702.65
432	12353470.63
433	12263864.35
434	12182813.66
435	12097601.83
436	12028206.94
437	11955097.16
438	11878853.46
439	11793416.74
440	11713042
441	11626739.36
442	11544313.21
443	11462088.78
444	11401078.17
445	11318815.23
446	11247238.94
447	11170255.14
448	11095948.95
449	11027122.55
450	10955996
451	10881045.02
452	10830810.48
453	10770554.25
454	10702543.11
455	10644359.52
456	10570290.28
457	10500226.37
458	10428159.05
459	10352806.6
460	10295427.37
461	10229485.46
462	10160171.16
463	10099953.38
464	10035253.32
465	9989301.993
466	9925958.087
467	9871961.199
468	9815217.247
469	9762557.072
470	9694054.897
471	9625216.102
472	9557157.938
473	9489651.26
474	9422786.208
475	9358285.989
476	9308856.275
477	9244073.833
478	9180502.356
479	9129360.757
480	9078345.952
481	9030153.748
482	8984258.547
483	8922028.115
484	8859503.849
485	8811674.899
486	8749111.535
487	8697776.395
488	8635488.798
489	8578418.623
490	8527140.224
491	8483271.833
492	8425710.05
493	8378329.712
494	8331724.297
495	8273211.464
496	8221173.225
497	8180438.831
498	8134208.417
499	8077589.965
500	8037111.599
501	7981924.261
502	7927253.329
503	7884320.308
504	7843050.993
505	7796257.264
506	7742727.474
507	7704779.431
508	7651488.488
509	7609233.967
510	7556621.321
511	7501648.407
512	7450203.608
513	7409152.132
514	7374592.887
515	7333863.568
516	7282121.554
517	7245841.26
518	7211772.144
519	7171011.653
520	7134047.83
521	7101802.803
522	7066916.049
523	7018568.559
524	6982422.738
525	6936585.641
526	6898004.134
527	6849200.682
528	6799919.988
529	6769599.812
530	6739640.202
531	6710573.335
532	6662158.368
533	6615211.935
534	6570487.848
535	6524413.639
536	6495577.482
537	6462863.072
538	6419014.852
539	6375801.661
540	6333867.825
541	6304671.739
542	6259461.931
543	6233080.548
544	6189630.328
545	6149991.674
546	6107850.931
547	6082129.757
548	6040563.212
549	5998897.556
550	5957246.384
551	5932120.869
552	5892004.694
553	5866431.1
554	5843025.009
555	5822966.472
556	5782883.277
557	5744025.962
558	5721171.387
559	5698081.448
560	5659983.593
561	5631614.281
562	5593896.581
563	5580296.505
564	5553082.693
565	5532080.582
566	5494276.304
567	5475613.744
568	5458969.152
569	5439378.267
570	5429924.288
571	5392495.554
572	5357152.041
573	5333085.151
574	5298511.545
575	5262858.158
576	5251336.954
577	5216947.295
578	5183140.516
579	5149195.276
580	5115913.386
581	5092698.296
582	5078341.809
583	5060045.748
584	5024872.39
585	4991489.435
586	4973260.885
587	4939568.59
588	4906416.565
589	4889291.082
590	4869752.31
591	4838057.517
592	4825813.638
593	4793889.354
594	4763289.829
595	4732249.333
596	4698213.242
597	4667876.706
598	4647301.243
599	4617266.815
